HHSTATE,CO2,CH4,N2O,CO2e,Annual NOX,Ozone Season NOX,SO2
AK,920,0.075,0.01,925,6.1,6.2,0.453
AL,750.8,0.055,0.008,754.5,0.2,0.2,0.134
AR,"1,086.90",0.091,0.013,"1,093.10",0.6,0.6,1.157
AZ,724.8,0.042,0.006,727.6,0.4,0.4,0.141
CA,479,0.025,0.003,480.5,0.4,0.4,0.015
CO,"1,216.90",0.113,0.016,"1,224.60",0.6,0.6,0.367
CT,515.1,0.048,0.006,518.1,0.2,0.2,0.034
DC,651.7,0.018,0.002,652.6,2.9,2.8,0.033
DE,867.5,0.04,0.005,870.1,0.4,0.4,0.317
FL,834.1,0.052,0.007,837.5,0.3,0.3,0.168
GA,758.1,0.064,0.009,762.4,0.3,0.3,0.248
HI,"1,491.00",0.164,0.025,"1,502.60",4.8,4.8,5.519
IA,768.9,0.081,0.012,774.4,0.5,0.7,0.802
ID,271.3,0.009,0.001,272,0.2,0.2,0.059
IL,653,0.063,0.009,657.3,0.3,0.3,0.722
IN,"1,632.60",0.152,0.022,"1,642.90",1,0.9,0.843
KS,838.2,0.095,0.014,844.6,0.6,0.6,0.155
KY,"1,727.10",0.186,0.027,"1,739.80",0.9,0.9,1.378
LA,826,0.04,0.006,828.7,0.6,0.7,0.738
MA,851.4,0.129,0.017,859.6,0.7,0.6,0.213
MD,698.2,0.058,0.008,702,0.2,0.2,0.241
ME,301,0.124,0.018,309.4,0.4,0.4,0.288
MI,"1,003.80",0.096,0.014,"1,010.30",0.8,0.8,0.951
MN,826,0.082,0.012,831.6,0.6,0.6,0.256
MO,"1,636.10",0.189,0.027,"1,649.00",1.3,1.2,2.631
MS,834,0.036,0.005,836.4,0.4,0.5,0.143
MT,"1,045.00",0.117,0.017,"1,053.00",0.9,0.8,1.072
NC,669.5,0.05,0.007,672.7,0.4,0.4,0.224
ND,"1,340.70",0.151,0.022,"1,351.00",1.3,1.4,1.639
NE,"1,124.80",0.13,0.019,"1,133.70",1,1.1,2.174
NH,304,0.063,0.008,308,0.2,0.1,0.044
NJ,480.9,0.035,0.004,483.1,0.2,0.2,0.046
NM,"1,134.30",0.097,0.014,"1,140.80",0.7,0.7,0.167
NV,715.1,0.028,0.004,716.9,0.5,0.6,0.128
NY,455.3,0.027,0.003,457,0.2,0.2,0.038
OH,"1,208.20",0.099,0.014,"1,214.90",0.6,0.5,1.216
OK,753.5,0.047,0.006,756.6,0.5,0.6,0.412
OR,325.8,0.015,0.002,326.7,0.5,0.5,0.015
PA,726.4,0.049,0.007,729.6,0.3,0.3,0.407
PR,"1,558.00",0.081,0.013,"1,563.90",3.2,3,3.284
RI,832.7,0.016,0.002,833.6,0.4,0.4,0.012
SC,567,0.05,0.007,570.4,0.2,0.2,0.179
SD,302.9,0.025,0.004,304.6,0.1,0.1,0.074
TN,698.3,0.065,0.009,702.6,0.3,0.3,0.366
TX,856.4,0.057,0.008,860.2,0.5,0.5,0.654
UT,"1,560.50",0.157,0.023,"1,571.20",1.6,1.6,0.65
VA,599.2,0.049,0.006,601.5,0.2,0.2,0.088
VT,36,0.137,0.018,44.8,0.2,0.2,0.017
WA,201.8,0.017,0.002,203,0.1,0.1,0.039
WI,"1,267.10",0.117,0.017,"1,274.90",0.5,0.6,0.221
WV,"1,944.10",0.223,0.032,"1,959.40",1,0.9,1.44
WY,"1,833.90",0.198,0.029,"1,847.40",1.2,1.3,1.16
U.S.,852.3,0.071,0.01,857,0.5,0.5,0.531
,,,,,,Created:,1/30/2023
